runid,corrupt,warning,knee,handlebar,trailer,reason
133,TRUE,,,,,na
140,TRUE,,,,,na
143,,,1,,,na
155,,TRUE,,,,na
156,,,2,,,na
163,,TRUE,,,,na
237,TRUE,,,,,na
248,,,,1,,na
249,,,7,9,,na
250,,,1,,7,na
252,,,7,,,na
255,,,,,4;8,handlebar doesn't seem to hit as the note suggests
256,,,,3,,na
257,,,7,,1;6,na
259,,,,,1,na
260,,,,,3;6,na
261,,,10,,,na
262,,,,,7,na
264,,,,,10,na
265,,,,,9,na
266,,,,,1;7;10,na
274,,TRUE,,,,na
281,,,,7,,na
282,,,10,,,na
287,,,,,7;8,na
290,,,4,,,na
310,,,3,,,na
312,,,2,,,na
315,,,1;5,,,na
335,TRUE,,,,,no bump detected in one or both signals
336,TRUE,,,,,no bump detected in one or both signals
337,TRUE,,,,,no bump detected in one or both signals
341,TRUE,,,,,no bump detected in one or both signals
346,TRUE,,,,,no bump detected in one or both signals
349,TRUE,,,,,no bump detected in one or both signals
350,TRUE,,,,,no bump detected in one or both signals
351,TRUE,,,,,no bump detected in one or both signals
352,TRUE,,,,,no bump detected in one or both signals
354,TRUE,,,,,no bump detected in one or both signals
356,TRUE,,,,,no bump detected in one or both signals
357,TRUE,,,,,no bump detected in one or both signals
364,TRUE,,,,,no bump detected in one or both signals
365,TRUE,,,,,no bump detected in one or both signals
375,TRUE,,,,,no bump detected in one or both signals
376,TRUE,,,,,no bump detected in one or both signals
382,TRUE,,,,,no bump detected in one or both signals
388,TRUE,,,,,no bump detected in one or both signals
394,TRUE,,,,,na
395,TRUE,,,,,na
396,TRUE,,,,,na
397,TRUE,,,,,no bump detected in one or both signals
398,TRUE,,,,,no bump detected in one or both signals
399,TRUE,,,,,no bump detected in one or both signals
401,TRUE,,,,,no bump detected in one or both signals
402,TRUE,,,,,the bump is only in one signal
403,TRUE,,,,,na
404,TRUE,,,,,no bump detected in one or both signals
405,TRUE,,,,,no bump detected in one or both signals
406,TRUE,,,,,no bump detected in one or both signals
407,TRUE,,,,,no bump detected in one or both signals
408,TRUE,,,,,no bump detected in one or both signals
409,TRUE,,,,,no bump detected in one or both signals
411,TRUE,,,,,no bump detected in one or both signals
412,TRUE,,,,,no bump detected in one or both signals
414,TRUE,,,,,no bump detected in one or both signals
415,TRUE,,,,,no bump detected in one or both signals
419,TRUE,,,,,no bump detected in one or both signals
420,TRUE,,,,,no bump detected in one or both signals
422,TRUE,,,,,no bump detected in one or both signals
423,TRUE,,,,,no bump detected in one or both signals
438,TRUE,,,,,no bump detected in one or both signals
444,TRUE,,,,,no bump detected in one or both signals
446,TRUE,,,,,no bump detected in one or both signals
448,TRUE,,,,,no bump detected in one or both signals
453,TRUE,,,,,no bump detected in one or both signals
454,TRUE,,,,,no bump detected in one or both signals
459,TRUE,,,,,no bump detected in one or both signals
460,TRUE,,,,,no bump detected in one or both signals
465,TRUE,,,,,no bump detected in one or both signals
494,,,1,,,na
507,,,2,,,na
515,,,3,,,na
531,,,1,,,na
533,,,2,,,na
544,TRUE,,,,,na
551,TRUE,,,,,na
552,TRUE,,,,,na
553,TRUE,,,,,na
557,TRUE,,,,,na
558,TRUE,,,,,na
559,TRUE,,,,,na
560,TRUE,,,,,na
561,TRUE,,,,,na
564,TRUE,,,,,na
565,TRUE,,,,,na
567,TRUE,,,,,na
571,TRUE,,,,,na
579,TRUE,,,,,na
580,TRUE,,,,,na
581,TRUE,,,,,na
583,TRUE,,,,,na
584,TRUE,,,,,Charlie didn't have his knees snapped in for most of the run.
628,,TRUE,,,,na
651,TRUE,,,,,na
701,TRUE,,,,,na
